id,app,name,applied
1,settings,0001_initial,2020-03-17 12:58:27.334754
2,employees,0001_initial,2020-03-17 12:58:27.569127
3,contenttypes,0001_initial,2020-03-17 12:58:27.732687
4,contenttypes,0002_remove_content_type_name,2020-03-17 12:58:27.877260
5,auth,0001_initial,2020-03-17 12:58:28.055250
6,auth,0002_alter_permission_name_max_length,2020-03-17 12:58:28.212809
7,auth,0003_alter_user_email_max_length,2020-03-17 12:58:28.300588
8,auth,0004_alter_user_username_opts,2020-03-17 12:58:28.397283
9,auth,0005_alter_user_last_login_null,2020-03-17 12:58:28.537906
10,auth,0006_require_contenttypes_0002,2020-03-17 12:58:28.681673
11,auth,0007_alter_validators_add_error_messages,2020-03-17 12:58:28.770747
12,auth,0008_alter_user_username_max_length,2020-03-17 12:58:28.915225
13,auth,0009_alter_user_last_name_max_length,2020-03-17 12:58:29.060822
14,auth,0010_alter_group_name_max_length,2020-03-17 12:58:29.226339
15,auth,0011_update_proxy_permissions,2020-03-17 12:58:29.352049
16,ems_auth,0001_initial,2020-03-17 12:58:29.459166
17,admin,0001_initial,2020-03-17 12:58:29.602784
18,admin,0002_logentry_remove_auto_add,2020-03-17 12:58:29.723460
19,admin,0003_logentry_add_action_flag_choices,2020-03-17 12:58:29.824192
20,ems_admin,0001_initial,2020-03-17 12:58:29.915946
21,ems_admin,0002_auto_20200317_1557,2020-03-17 12:58:30.073566
22,holidays,0001_initial,2020-03-17 12:58:30.163321
23,organisation_details,0001_initial,2020-03-17 12:58:30.322857
24,learning_and_development,0001_initial,2020-03-17 12:58:30.437579
25,leave,0001_initial,2020-03-17 12:58:30.668719
26,overtime,0001_initial,2020-03-17 12:58:30.803360
27,payroll,0001_initial,2020-03-17 12:58:30.927028
28,recruitment,0001_initial,2020-03-17 12:58:31.061713
29,sessions,0001_initial,2020-03-17 12:58:31.217445
30,training,0001_initial,2020-03-17 12:58:31.335129
31,employees,0002_delete_department,2020-03-20 06:55:50.069686
32,organisation_details,0002_auto_20200320_0955,2020-03-20 07:00:21.336670
33,contracts,0001_initial,2020-03-20 07:52:05.131803
34,overtime,0002_overtimeplan_overtimeschedule,2020-04-26 07:46:47.903702
35,overtime,0003_auto_20200411_0848,2020-04-26 07:46:48.248797
36,leave,0002_auto_20200605_1830,2020-06-05 15:30:25.375528
37,leave,0003_auto_20200606_1453,2020-06-06 11:53:27.134040
38,notification,0001_initial,2020-06-13 17:55:59.053442
39,payroll,0002_auto_20200613_2047,2020-06-13 17:56:17.393304
40,notification,0002_auto_20200613_2109,2020-06-13 18:09:45.931892
41,payroll,0002_auto_20200608_1013,2020-06-16 06:26:44.745684
